GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
codera-lang,uk.co.codera.lang,Announcer,0,131,0,6,0,36,0,17,0,14
codera-lang,uk.co.codera.lang,Announcer.DoNothingExceptionHandler,0,4,0,0,0,2,0,2,0,2
codera-lang,uk.co.codera.lang.measure,UnitOfLength,9,29,0,0,0,3,2,2,2,2
codera-lang,uk.co.codera.lang.measure,UnitOfLength.new UnitOfLength() {...},0,16,0,0,0,3,0,3,0,3
codera-lang,uk.co.codera.lang.measure,UnitOfLength.new UnitOfLength() {...},0,15,0,0,0,3,0,3,0,3
codera-lang,uk.co.codera.lang.concurrent,Tasks.CancellableTask.Builder,0,9,0,0,0,2,0,2,0,2
codera-lang,uk.co.codera.lang.concurrent,PriorityTaskExecutor.NormalTaskBehaviour,9,39,0,0,0,2,2,2,2,2
codera-lang,uk.co.codera.lang.concurrent,Tasks.AbstractCorrelatedTask.Builder,0,13,0,0,0,5,0,3,0,3
codera-lang,uk.co.codera.lang.concurrent,PriorityTaskExecutor.CheckNotCancelled,0,48,0,6,0,12,0,6,0,3
codera-lang,uk.co.codera.lang.concurrent,Tasks.CancellingTask,0,9,0,0,0,3,0,2,0,2
codera-lang,uk.co.codera.lang.concurrent,Tasks.CancellingTask.Builder,0,9,0,0,0,2,0,2,0,2
codera-lang,uk.co.codera.lang.concurrent,Tasks.AbstractTask,0,11,0,0,0,5,0,2,0,2
codera-lang,uk.co.codera.lang.concurrent,SequencedPriorityExecutor.SequencedPriorityComparator,0,30,0,2,0,9,0,3,0,2
codera-lang,uk.co.codera.lang.concurrent,SequencedPriorityExecutor.SequencedRunnable,0,20,0,0,0,8,0,4,0,4
codera-lang,uk.co.codera.lang.concurrent,Tasks.AbstractTask.Builder,0,8,0,0,0,3,0,2,0,2
codera-lang,uk.co.codera.lang.concurrent,PriorityTaskExecutor,0,47,0,0,0,10,0,4,0,4
codera-lang,uk.co.codera.lang.concurrent,Tasks.SimpleTask,0,9,0,0,0,3,0,2,0,2
codera-lang,uk.co.codera.lang.concurrent,PriorityTaskExecutor.Builder,0,25,0,0,0,8,0,5,0,5
codera-lang,uk.co.codera.lang.concurrent,SequencedPriorityExecutor,0,56,0,0,0,11,0,5,0,5
codera-lang,uk.co.codera.lang.concurrent,PriorityTaskExecutor.RecordsCancellation,0,19,0,0,0,5,0,2,0,2
codera-lang,uk.co.codera.lang.concurrent,PriorityTaskExecutor.RunPolicyFactory,0,41,0,4,0,9,0,4,0,2
codera-lang,uk.co.codera.lang.concurrent,Tasks.CancellableTask,0,9,0,0,0,3,0,2,0,2
codera-lang,uk.co.codera.lang.concurrent,PriorityTaskExecutor.TaskRunner,0,19,0,2,0,7,0,3,0,2
codera-lang,uk.co.codera.lang.concurrent,Tasks,3,6,0,0,2,3,1,3,1,3
codera-lang,uk.co.codera.lang.concurrent,Tasks.AbstractCorrelatedTask,0,19,0,0,0,6,0,3,0,3
codera-lang,uk.co.codera.lang.concurrent,PriorityTaskExecutor.PriorityTaskComparator,0,36,0,4,0,10,0,5,0,3
codera-lang,uk.co.codera.lang.concurrent,PriorityTaskExecutor.AlwaysRun,0,8,0,0,0,2,0,2,0,2
codera-lang,uk.co.codera.lang.concurrent,Tasks.SimpleTask.Builder,0,9,0,0,0,2,0,2,0,2
codera-lang,uk.co.codera.lang.datetime,TimeMeasure,0,38,0,0,0,10,0,7,0,7
codera-lang,uk.co.codera.lang.collection,MultiMap,0,49,0,4,0,11,0,6,0,4
codera-lang,uk.co.codera.lang.io,ClasspathResource,0,21,0,0,0,7,0,3,0,3
